StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent form ,pid ,age ,gender ,residence ,citizen ,marital_status ,income ,education ,race ,politic_aff ,hhsize ,life_ladder ,personal_threshold,others_average ,similar_average ,poor_focused ,confidence ,redis_tax _1,redis_tax _2,redis_tax _3,bonus _1,bonus _2,bonus _3,bonus _4,Q15,PROLIFIC_PID,Othersbelief_DO
27/7/25 23:10,27/7/25 23:13,IP Address,24.92.36.242,100,178,TRUE,27/7/25 23:13,R_3JqqIKzP5EQtfl3,,,,,42.9968,-78.1888,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5cd6c1197b871a0001b13589,64,Female,Yes,Yes,Married,"$1,000–$1,666/month",High school graduate or GED equivalent,White/Caucasian,Lean Republican,3,9,2000,3000,3000,2000,Moderately confident,10 - Completely supportive,0 - Not at all supportive,10 - Completely supportive,2,0,0,8,Thailand,5cd6c1197b871a0001b13589,others_average |similar_average |poor_focused 
27/7/25 23:12,27/7/25 23:15,IP Address,66.222.34.118,100,145,TRUE,27/7/25 23:15,R_1pqlsvV2hIDjpU5,,,,,39.1893,-83.9446,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5f402eb4fbd8df145068b805,64,Female,Yes,Yes,Widowed,"$1,667–$2,499/month",Completed undergraduate,White/Caucasian,Lean Democrat,1,8,10000,10000,10000,5500,Slightly confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,3,0,0,7,Thailand,5f402eb4fbd8df145068b805,poor_focused |others_average |similar_average 
27/7/25 23:12,27/7/25 23:15,IP Address,24.101.237.151,100,161,TRUE,27/7/25 23:15,R_1daByTtc9C4jpaP,,,,,41.0996,-80.7523,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",62916bb383e38e21d42cef2b,34,Male,Yes,Yes,Married,"$5,834–$6,666/month",High school graduate or GED equivalent,White/Caucasian,Independent,4,8,10000,8000,8000,5000,Slightly confident,10 - Completely supportive,6,10 - Completely supportive,0,0,0,10,Thailand,62916bb383e38e21d42cef2b,similar_average |poor_focused |others_average 
27/7/25 23:12,27/7/25 23:15,IP Address,73.143.50.82,100,205,TRUE,27/7/25 23:15,R_3kZZBE01iwFpRNn,,,,,41.7601,-70.0828,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",62e92ac314e2c0f89236aed1,72,Female,Yes,Yes,Divorced,"$1,667–$2,499/month",Completed graduate (Master’s or PhD),White/Caucasian,Independent,1,7,5000,8000,5000,3000,Not at all confident,10 - Completely supportive,4,0 - Not at all supportive,0,0,0,10,Thailand,62e92ac314e2c0f89236aed1,others_average |similar_average |poor_focused 
27/7/25 23:11,27/7/25 23:15,IP Address,172.250.110.246,100,222,TRUE,27/7/25 23:15,R_5otAtvrRVeflnxu,,,,,34.2827,-118.8875,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",63fa2f029381a13d9f2a36a8,55,Female,Yes,Yes,Divorced,"$2,500–$3,333/month",Some undergraduate,White/Caucasian,Strong Democrat,1,5,8000,12000,10000,5000,Not at all confident,10 - Completely supportive,0 - Not at all supportive,10 - Completely supportive,3,0,0,7,Thailand,63fa2f029381a13d9f2a36a8,similar_average |poor_focused |others_average 
27/7/25 23:13,27/7/25 23:15,IP Address,50.37.35.253,100,146,TRUE,27/7/25 23:15,R_1hS3hohyJk2mmxb,,,,,43.2369,-86.1951,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",663a6537d8be42a9bd890765,35,Non-binary / third gender,Yes,Yes,Married,"$3,334–$4,166/month",Some undergraduate,White/Caucasian,Independent,3,4,10000,20000,12000,8000,Not at all confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,2,0,3,Thailand,663a6537d8be42a9bd890765,poor_focused |others_average |similar_average 
27/7/25 23:10,27/7/25 23:15,IP Address,68.202.199.94,100,300,TRUE,27/7/25 23:15,R_6I63kMaPzL4ORZL,,,,,28.5978,-81.3024,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6272bd000471b3d9ed5d4da5,43,Male,Yes,Yes,Single,"$5,000–$5,833/month",Completed graduate (Master’s or PhD),White/Caucasian,Strong Republican,3,7,10000,8000,10000,5000,Not at all confident,0 - Not at all supportive,0 - Not at all supportive,1,5,0,0,5,Thailand,6272bd000471b3d9ed5d4da5,others_average |similar_average |poor_focused 
27/7/25 23:11,27/7/25 23:15,IP Address,73.161.140.71,100,257,TRUE,27/7/25 23:15,R_3irpVcXx7hampS9,,,,,43.1963,-86.2717,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",677a05cefac5f4430b7ff00c,55,Female,Yes,Yes,Cohabiting,"$5,834–$6,666/month",Completed undergraduate,White/Caucasian,Lean Democrat,2,6,8000,7000,8000,5000,Slightly confident,9,3,10 - Completely supportive,8,2,0,0,Thailand,677a05cefac5f4430b7ff00c,others_average |similar_average |poor_focused 
27/7/25 23:10,27/7/25 23:15,IP Address,96.37.244.148,100,332,TRUE,27/7/25 23:15,R_7OHj0E3FtZpD8B3,,,,,34.8966,-82.2689,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",653e815427effbcf60fd50e5,58,Male,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,White/Caucasian,Lean Democrat,3,9,12000,8000,11000,5000,Slightly confident,10 - Completely supportive,8,10 - Completely supportive,3,2,0,5,Thailand,653e815427effbcf60fd50e5,similar_average |others_average |poor_focused 
27/7/25 23:13,27/7/25 23:15,IP Address,98.14.27.86,100,122,TRUE,27/7/25 23:15,R_3fKb3Bs0jCGRkD6,,,,,41.3944,-74.3332,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",63bc0a007b1c348dff56b59d,52,Female,Yes,Yes,Separated,"$1,667–$2,499/month",Completed undergraduate,White/Caucasian,Lean Republican,2,8,4000,4000,4000,4000,Slightly confident,10 - Completely supportive,6,10 - Completely supportive,5,0,0,5,Thailand,63bc0a007b1c348dff56b59d,poor_focused |similar_average |others_average 
27/7/25 23:12,27/7/25 23:15,IP Address,98.239.176.172,100,192,TRUE,27/7/25 23:15,R_34N1BcrtibSHDJP,,,,,40.4232,-78.6244,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",58effc65c31d4d00015aa5b9,51,Female,Yes,Yes,Married,"$5,000–$5,833/month",Completed undergraduate,White/Caucasian,Lean Republican,4,8,9000,10000,9000,7000,Very confident,8,3,8,2,2,0,6,Thailand,58effc65c31d4d00015aa5b9,poor_focused |others_average |similar_average 
27/7/25 23:13,27/7/25 23:15,IP Address,192.228.52.233,100,171,TRUE,27/7/25 23:15,R_1AT52KAzzDfBoqK,,,,,33.9641,-87.9014,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",67673cda94b4d0cf1a6a7382,57,Female,Yes,Yes,Married,"$2,500–$3,333/month",Some undergraduate,White/Caucasian,Strong Republican,3,5,6500,8000,6000,6000,Not at all confident,9,0 - Not at all supportive,3,0,0,0,10,Thailand,67673cda94b4d0cf1a6a7382,similar_average |poor_focused |others_average 
27/7/25 23:12,27/7/25 23:16,IP Address,130.250.253.117,100,223,TRUE,27/7/25 23:16,R_5a8keBdkECaGHOS,,,,,39.0538,-104.8191,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",55d0945934e9060005e57258,48,Female,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,White/Caucasian,Strong Republican,3,10 - Completely satisfied,100000,100000,100000,100000,Moderately confident,0 - Not at all supportive,0 - Not at all supportive,5,0,0,0,10,Thailand,55d0945934e9060005e57258,poor_focused |similar_average |others_average 
27/7/25 23:13,27/7/25 23:16,IP Address,138.84.244.156,100,175,TRUE,27/7/25 23:16,R_7fjL4hlBfAzIGbM,,,,,30.8636,-89.1305,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5bf5ab78f35e0c000101b657,32,Female,Yes,Yes,Married,"$2,500–$3,333/month",Some undergraduate,White/Caucasian,Independent,3,8,6500,6500,6500,4500,Moderately confident,10 - Completely supportive,0 - Not at all supportive,4,0,0,0,10,Thailand,5bf5ab78f35e0c000101b657,others_average |poor_focused |similar_average 
27/7/25 23:13,27/7/25 23:16,IP Address,23.126.132.88,100,193,TRUE,27/7/25 23:16,R_3oFjrfcgiPsUOd4,,,,,28.6529,-81.2106,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",676e13e5655cf7cc40923c54,50,Female,Yes,Yes,Divorced,"$8,334–$12,499/month",Completed graduate (Master’s or PhD),White/Caucasian,Lean Republican,4,8,13500,15000,15000,6000,Moderately confident,5,1,1,5,0,0,5,Thailand,676e13e5655cf7cc40923c54,similar_average |others_average |poor_focused 
27/7/25 23:12,27/7/25 23:16,IP Address,75.109.39.103,100,209,TRUE,27/7/25 23:16,R_3gbR95GZRar1Rj0,,,,,38.4096,-81.6747,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",65f860a1ab03181926bce465,42,Female,Yes,Yes,Married,"$2,500–$3,333/month",High school graduate or GED equivalent,White/Caucasian,Independent,3,9,5000,5000,6000,5000,Not at all confident,10 - Completely supportive,Don't know/prefer not to answer,Don't know/prefer not to answer,5,0,0,5,Thailand,65f860a1ab03181926bce465,others_average |similar_average |poor_focused 
27/7/25 23:11,27/7/25 23:16,IP Address,172.58.122.222,100,274,TRUE,27/7/25 23:16,R_6qfly2cX9xW1i9i,,,,,42.3575,-83.2162,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",62961bfdbe5f238d3225db72,44,Female,Yes,Yes,Married,"$1,000–$1,666/month",High school graduate or GED equivalent,White/Caucasian,Independent,2,7,4000,3500,4000,6000,Very confident,10 - Completely supportive,2,10 - Completely supportive,0,0,0,10,Thailand,62961bfdbe5f238d3225db72,poor_focused |others_average |similar_average 
27/7/25 23:12,27/7/25 23:16,IP Address,73.127.159.126,100,224,TRUE,27/7/25 23:16,R_1CY6lpJqWapCX4d,,,,,35.0506,-106.7249,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5fefefa4c9707d3516361c9c,59,Female,Yes,Yes,Widowed,"$2,500–$3,333/month",High school graduate or GED equivalent,"White/Caucasian,Hispanic/Latinx",Strong Republican,2,7,3400,4000,4000,1500,Not at all confident,4,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,5fefefa4c9707d3516361c9c,poor_focused |others_average |similar_average 
27/7/25 23:12,27/7/25 23:16,IP Address,63.143.132.240,100,252,TRUE,27/7/25 23:16,R_6JeXpKJkLqQTmBU,,,,,35.1829,-83.3865,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",65f76c0549034aba6be18279,58,Female,Yes,Yes,Married,"$5,834–$6,666/month",Some undergraduate,White/Caucasian,Strong Republican,2,7,6000,10000,6000,5000,Slightly confident,7,10 - Completely supportive,10 - Completely supportive,10,0,0,0,Thailand,65f76c0549034aba6be18279,similar_average |others_average |poor_focused 
27/7/25 23:12,27/7/25 23:16,IP Address,199.58.145.38,100,268,TRUE,27/7/25 23:16,R_3Usp94xI1rTIoGl,,,,,42.3066,-76.1949,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",67364113bdafe2840fa05b69,54,Male,Yes,Yes,Single,"$1,667–$2,499/month",Some undergraduate,White/Caucasian,Lean Democrat,2,1,5000,8000,10000,4000,Slightly confident,10 - Completely supportive,5,7,3,0,2,5,Thailand,67364113bdafe2840fa05b69,similar_average |others_average |poor_focused 
27/7/25 23:12,27/7/25 23:16,IP Address,174.170.29.202,100,263,TRUE,27/7/25 23:16,R_3asxy6mj50HNU7n,,,,,29.81,-95.5608,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",657327316173c2bd86323378,37,Male,Yes,Yes,Single,"Less than $1,000/month",High school graduate or GED equivalent,"White/Caucasian,Other",Strong Republican,3,1,4000,15000,8000,8000,Slightly confident,0 - Not at all supportive,10 - Completely supportive,Don't know/prefer not to answer,1,0,0,9,Thailand,657327316173c2bd86323378,similar_average |poor_focused |others_average 
27/7/25 23:13,27/7/25 23:16,IP Address,207.244.200.218,100,203,TRUE,27/7/25 23:16,R_1Lp1f28qGcryVW1,,,,,33.4796,-88.3528,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",559e6830fdf99b4f0b98514a,49,Female,No,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,White/Caucasian,Strong Republican,2,8,9500,6500,9500,3500,Very confident,0 - Not at all supportive,2,7,0,0,0,10,Thailand,559e6830fdf99b4f0b98514a,poor_focused |similar_average |others_average 
27/7/25 23:13,27/7/25 23:16,IP Address,67.246.91.104,100,193,TRUE,27/7/25 23:16,R_1h6DsBBsl5j2QDW,,,,,42.4713,-78.9329,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",655386dc470f6217a78fec03,42,Female,No,No,Single,"$1,667–$2,499/month",Completed undergraduate,White/Caucasian,Independent,5,0 - Not at all satisfied,5000,8000,8000,2000,Not at all confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,1,1,3,Thailand,655386dc470f6217a78fec03,poor_focused |others_average |similar_average 
27/7/25 23:13,27/7/25 23:16,IP Address,67.173.12.26,100,229,TRUE,27/7/25 23:16,R_1HTbVFR4LyHqJku,,,,,41.85,-87.7165,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5e34325430e5263f0bebb32d,70,Male,Yes,Yes,Divorced,"$2,500–$3,333/month",Completed undergraduate,White/Caucasian,Independent,1,8,5000,15000,10000,5000,Moderately confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,2,0,0,8,Thailand,5e34325430e5263f0bebb32d,similar_average |others_average |poor_focused 
27/7/25 23:12,27/7/25 23:17,IP Address,172.58.164.50,100,291,TRUE,27/7/25 23:17,R_3qO0ehxjwT8Yy9s,,,,,41.8835,-87.6305,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",67e830bb6eaebc236b9cd37e,63,Female,Yes,Yes,Divorced,"$5,000–$5,833/month",Completed undergraduate,White/Caucasian,Independent,1,3,100000,100000,100000,75000,Not at all confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,0,0,5,Thailand,67e830bb6eaebc236b9cd37e,poor_focused |similar_average |others_average 
27/7/25 23:14,27/7/25 23:17,IP Address,174.162.19.189,100,173,TRUE,27/7/25 23:17,R_1UysXTUVF6PYDrr,,,,,42.6442,-82.8985,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6766deef2e4e127d7fc3c293,36,Male,Yes,Yes,Single,"$4,167–$4,999/month",Some undergraduate,White/Caucasian,Independent,3,7,20000,5000,3000,2400,Moderately confident,3,4,6,3,3,2,2,Thailand,6766deef2e4e127d7fc3c293,similar_average |poor_focused |others_average 
27/7/25 23:13,27/7/25 23:17,IP Address,172.58.243.200,100,237,TRUE,27/7/25 23:17,R_7Vp5kYq3qWjbWxj,,,,,38.9705,-76.8388,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",678ff81c8c6b56f93355e0bb,52,Male,Yes,Yes,Divorced,"$7,500–$8,333/month",Some undergraduate,White/Caucasian,Lean Democrat,2,7,12000,8000,10000,6000,Very confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,6,2,0,2,Thailand,678ff81c8c6b56f93355e0bb,poor_focused |others_average |similar_average 
27/7/25 23:15,27/7/25 23:17,IP Address,64.35.198.9,100,117,TRUE,27/7/25 23:17,R_5dFSGKTMbW4oNjn,,,,,43.2016,-71.6953,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",59a4b7ca8d2b1600011b41c2,37,Male,Yes,Yes,Single,"$7,500–$8,333/month",High school graduate or GED equivalent,White/Caucasian,Independent,2,0 - Not at all satisfied,8000,8000,8000,5000,Moderately confident,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,0,0,0,10,Thailand,59a4b7ca8d2b1600011b41c2,similar_average |poor_focused |others_average 
27/7/25 23:14,27/7/25 23:17,IP Address,100.8.144.99,100,219,TRUE,27/7/25 23:17,R_31zAMUQHqq19pjb,,,,,40.4129,-74.2011,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",662959b221d6790f5548ba36,53,Female,Yes,Yes,Married,"$8,334–$12,499/month",Some undergraduate,White/Caucasian,Independent,3,5,12000,8000,12500,60000,Slightly confident,10 - Completely supportive,2,9,0,5,0,5,Thailand,662959b221d6790f5548ba36,similar_average |others_average |poor_focused 
27/7/25 23:13,27/7/25 23:17,IP Address,47.42.182.247,100,258,TRUE,27/7/25 23:17,R_51oEJF948SA2Avf,,,,,42.3893,-122.9165,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",67195ce0322d3935df36e8be,41,Male,Yes,Yes,Cohabiting,"$6,667–$7,499/month",Completed undergraduate,White/Caucasian,Strong Democrat,2,6,9000,8000,9000,5000,Moderately confident,10 - Completely supportive,3,9,1,1,0,8,Thailand,67195ce0322d3935df36e8be,others_average |similar_average |poor_focused 
27/7/25 23:13,27/7/25 23:17,IP Address,73.30.77.57,100,297,TRUE,27/7/25 23:17,R_1eeqcXMF4CSSDzp,,,,,39.7384,-75.6656,anonymous,EN,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",60bd28cc95ab27d4f4f6ada3,57,Male,Yes,Yes,Divorced,"$12,500/month or more",Completed graduate (Master’s or PhD),White/Caucasian,Strong Republican,2,10 - Completely satisfied,5000,7000,5000,2000,Slightly confident,0 - Not at all supportive,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,60bd28cc95ab27d4f4f6ada3,poor_focused |similar_average |others_average 
