StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RelevantIDDuplicate,Q_DuplicateRespondent,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent form ,pid ,age ,gender ,residence ,citizen ,marital_status ,income ,education ,race ,politic_aff ,hhsize ,life_ladder_pre ,personal_threshold,others_average ,similar_average ,poor_focused ,confidence ,life_ladder_post ,redis_tax _1,redis_tax _2,redis_tax _3,bonus _1,bonus _2,bonus _3,bonus _4,Q15,PROLIFIC_PID,actual_average,actual_poor,treatment,Othersbelief_DO
30/7/25 0:13,30/7/25 0:21,IP Address,107.221.72.114,100,430,TRUE,30/7/25 0:21,R_12WcumJy1s1hhFn,,,,,33.9339,-117.8854,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",667f8a768415858efef4a729,49,Female,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,Asian,Strong Democrat,3,4,13500,18000,17000,10000,Moderately confident,4,10 - Completely supportive,3,7,4,5,0,1,Thailand,667f8a768415858efef4a729,13592.22,8832.47,Normcorrection-control_a,poor_focused |others_average |similar_average 
30/7/25 0:59,30/7/25 1:03,IP Address,192.182.41.202,100,253,TRUE,30/7/25 1:03,R_3awS39MMGs1BXqs,,,,,41.0513,-85.1066,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",63936bad01efa1e55f6e149d,60,Female,Yes,Yes,Single,"$2,500–$3,333/month",Completed undergraduate,White/Caucasian,Strong Democrat,5,3,6000,8000,5500,5000,Slightly confident,3,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,2,2,1,5,Thailand,63936bad01efa1e55f6e149d,13592.22,8832.47,Normcorrection-control_p,others_average |similar_average |poor_focused 
30/7/25 0:58,30/7/25 1:03,IP Address,73.237.152.187,100,300,TRUE,30/7/25 1:03,R_12a0U5DStcxktdU,,,,,33.9721,-84.4406,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",65e7795d1685521fd01bd49a,63,Female,Yes,Yes,Divorced,"$4,167–$4,999/month",Completed undergraduate,"White/Caucasian,Native American",Lean Democrat,1,3,6000,6000,7000,4000,Slightly confident,3,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,5,0,3,2,Thailand,65e7795d1685521fd01bd49a,13592.22,8832.47,Normcorrection-lowincome,poor_focused |similar_average |others_average 
30/7/25 0:59,30/7/25 1:04,IP Address,98.217.19.212,100,269,TRUE,30/7/25 1:04,R_13W2lJnbCu6Jetr,,,,,42.0774,-71.0446,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",662945728093113a43ab8077,49,Female,Yes,Yes,Married,"$5,834–$6,666/month",Some undergraduate,White/Caucasian,Lean Democrat,4,6,10000,10000,12000,5000,Slightly confident,6,9,8,10 - Completely supportive,2,1,1,6,Thailand,662945728093113a43ab8077,13592.22,8832.47,Normcorrection-control_a,poor_focused |others_average |similar_average 
30/7/25 1:01,30/7/25 1:03,IP Address,67.146.18.235,100,175,TRUE,30/7/25 1:04,R_7j1buaqV0AnzwO6,,,,,40.0537,-77.5216,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66fceda149718a86f36761b4,30,Female,Yes,Yes,Cohabiting,"Less than $1,000/month",High school graduate or GED equivalent,White/Caucasian,Lean Democrat,5,3,5000,5000,5000,3000,Slightly confident,3,5,7,6,3,2,2,3,Thailand,66fceda149718a86f36761b4,13592.22,8832.47,Normcorrection-control_a,poor_focused |others_average |similar_average 
30/7/25 1:00,30/7/25 1:04,IP Address,73.89.252.117,100,201,TRUE,30/7/25 1:04,R_33IlYY9gMRpeiQN,,,,,42.1224,-72.5116,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66e0813b79955faf3b6017c3,50,Male,Yes,Yes,Single,"$2,500–$3,333/month",High school graduate or GED equivalent,"White/Caucasian,Pacific Islander",Strong Republican,2,0 - Not at all satisfied,12500,15000,15000,7000,Not at all confident,0 - Not at all satisfied,0 - Not at all supportive,3,0 - Not at all supportive,0,0,0,10,Thailand,66e0813b79955faf3b6017c3,13592.22,8832.47,Normcorrection-lowincome,similar_average |others_average |poor_focused 
30/7/25 1:01,30/7/25 1:04,IP Address,24.22.104.226,100,140,TRUE,30/7/25 1:04,R_6EQyZf8xGXzaELf,,,,,44.9961,-122.9124,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66fb7e88b9ab34ae0321f21b,30,Female,Yes,Yes,Single,"$5,000–$5,833/month",Completed graduate (Master’s or PhD),White/Caucasian,Independent,1,7,6000,6500,7000,5000,Not at all confident,7,10 - Completely supportive,1,7,3,3,3,1,Thailand,66fb7e88b9ab34ae0321f21b,13592.22,8832.47,Normcorrection-control_p,poor_focused |others_average |similar_average 
30/7/25 1:01,30/7/25 1:04,IP Address,174.220.115.14,100,179,TRUE,30/7/25 1:04,R_7msFmZDciek1pnc,,,,,35.0125,-80.9309,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",65eb72fc073dffe731f3f4f7,42,Female,Yes,Yes,Married,"$3,334–$4,166/month",Some graduate,Black/African,Strong Democrat,4,7,10000,20000,10000,5500,Slightly confident,7,8,7,10 - Completely supportive,0,0,0,10,Thailand,65eb72fc073dffe731f3f4f7,13592.22,8832.47,Normcorrection-control_p,others_average |similar_average |poor_focused 
30/7/25 1:01,30/7/25 1:04,IP Address,47.227.229.224,100,177,TRUE,30/7/25 1:04,R_1PuVVFK9I5evkJk,,,,,39.9714,-86.1295,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66a81b7ff3eb8d64eebe3496,32,Male,Yes,Yes,Married,"$12,500/month or more",Some graduate,White/Caucasian,Lean Democrat,2,7,15000,10000,20000,6000,Slightly confident,8,8,2,7,3,5,2,0,Thailand,66a81b7ff3eb8d64eebe3496,13592.22,8832.47,Normcorrection-average,poor_focused |similar_average |others_average 
30/7/25 1:01,30/7/25 1:05,IP Address,107.11.38.6,100,203,TRUE,30/7/25 1:05,R_1dHfWcPcLhPoCHx,,,,,40.189,-83.0063,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5f4d07b4fae27694de8f5af1,58,Female,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,White/Caucasian,Strong Democrat,2,8,15000,8000,12000,5000,Moderately confident,9,10 - Completely supportive,1,10 - Completely supportive,2,0,0,8,Thailand,5f4d07b4fae27694de8f5af1,13592.22,8832.47,Normcorrection-control_a,others_average |similar_average |poor_focused 
30/7/25 1:01,30/7/25 1:05,IP Address,71.213.131.194,100,208,TRUE,30/7/25 1:05,R_57y4peJy0dDan3h,,,,,41.4434,-84.0088,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66293ce3dba0764775195e58,50,Female,Yes,Yes,Married,"$1,667–$2,499/month",Some undergraduate,White/Caucasian,Strong Republican,4,8,3500,5000,4000,3500,Slightly confident,8,5,2,2,4,1,1,4,Thailand,66293ce3dba0764775195e58,13592.22,8832.47,Normcorrection-control_a,poor_focused |others_average |similar_average 
30/7/25 1:02,30/7/25 1:05,IP Address,172.58.165.208,100,197,TRUE,30/7/25 1:05,R_7fHSuhvwZayRQec,,,,,41.8835,-87.6305,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66b4d2ee1ac8c5e9060a6930,42,Female,Yes,Yes,Married,"$5,000–$5,833/month",Some undergraduate,White/Caucasian,Lean Republican,5,2,12000,15000,10000,5000,Not at all confident,1,9,5,6,5,0,0,5,Thailand,66b4d2ee1ac8c5e9060a6930,13592.22,8832.47,Normcorrection-lowincome,similar_average |poor_focused |others_average 
30/7/25 1:01,30/7/25 1:05,IP Address,73.121.146.194,100,249,TRUE,30/7/25 1:05,R_3An7Rw7xWEnk1A5,,,,,36.6612,-80.924,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",66d1a34290c0181302a08f66,41,Female,Yes,Yes,Single,"$1,667–$2,499/month",High school graduate or GED equivalent,White/Caucasian,Lean Democrat,4,6,4000,10000,10000,4000,Slightly confident,7,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,4,3,3,0,Thailand,66d1a34290c0181302a08f66,13592.22,8832.47,Normcorrection-control_p,poor_focused |others_average |similar_average 
30/7/25 1:02,30/7/25 1:05,IP Address,68.2.83.228,100,202,TRUE,30/7/25 1:05,R_1Ny2b3vLB8tRvML,,,,,33.7001,-111.8877,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5c0b388b9c7b1100015ab55f,57,Female,Yes,Yes,Married,"$12,500/month or more",Completed undergraduate,White/Caucasian,Strong Republican,4,9,12000,8000,10000,6000,Very confident,9,0 - Not at all supportive,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,5c0b388b9c7b1100015ab55f,13592.22,8832.47,Normcorrection-average,similar_average |others_average |poor_focused 
30/7/25 1:00,30/7/25 1:06,IP Address,174.58.233.115,100,315,TRUE,30/7/25 1:06,R_7jNjWmW1iYkxRhC,,,,,29.1254,-82.0076,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5dbc46b70338051eb7999760,47,Female,Yes,Yes,Married,"$6,667–$7,499/month",Some graduate,White/Caucasian,Lean Democrat,2,9,3600,6000,4000,2500,Moderately confident,9,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,2,0,0,8,Thailand,5dbc46b70338051eb7999760,13592.22,8832.47,Normcorrection-lowincome,poor_focused |similar_average |others_average 
30/7/25 1:03,30/7/25 1:06,IP Address,108.147.195.1,100,193,TRUE,30/7/25 1:06,R_5nPeYWoddHJWozz,,,,,36.1685,-115.1164,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6314c1e76c3f71e2127f1976,44,Male,Yes,Yes,Single,"Less than $1,000/month",High school graduate or GED equivalent,White/Caucasian,Independent,1,7,10000,10000,10000,5000,Moderately confident,7,9,8,10 - Completely supportive,8,0,0,2,Thailand,6314c1e76c3f71e2127f1976,13592.22,8832.47,Normcorrection-average,others_average |poor_focused |similar_average 
30/7/25 1:03,30/7/25 1:06,IP Address,76.229.231.137,100,212,TRUE,30/7/25 1:06,R_1iU8QewM2Gd4LG9,,,,,29.8478,-95.6599,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",676ef4be3ae6971bb695ff02,57,Male,Yes,Yes,Married,"$5,000–$5,833/month",Some undergraduate,White/Caucasian,Strong Democrat,2,8,5000,5000,8000,2500,Moderately confident,8,10 - Completely supportive,8,9,0,0,0,10,Thailand,676ef4be3ae6971bb695ff02,13592.22,8832.47,Normcorrection-average,others_average |similar_average |poor_focused 
30/7/25 1:03,30/7/25 1:06,IP Address,174.225.69.135,100,233,TRUE,30/7/25 1:06,R_1p9e4DBDcgTjzHn,,,,,28.4998,-81.3288,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6384d848165f7e57de28607c,61,Male,Yes,Yes,Married,"$7,500–$8,333/month",Completed undergraduate,White/Caucasian,Strong Democrat,2,2,15000,6000,9000,4000,Slightly confident,2,10 - Completely supportive,8,10 - Completely supportive,0,0,0,10,Thailand,6384d848165f7e57de28607c,13592.22,8832.47,Normcorrection-control_p,poor_focused |similar_average |others_average 
30/7/25 1:03,30/7/25 1:07,IP Address,72.193.26.126,100,239,TRUE,30/7/25 1:07,R_6q95eFPcTmu27Gj,,,,,36.0588,-115.3104,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",662aca04169412ae36fb7d60,56,Male,Yes,Yes,Single,"$2,500–$3,333/month",Some undergraduate,White/Caucasian,Lean Democrat,2,4,7500,5500,7500,5000,Slightly confident,4,10 - Completely supportive,8,10 - Completely supportive,4,4,0,2,Thailand,662aca04169412ae36fb7d60,13592.22,8832.47,Normcorrection-lowincome,poor_focused |similar_average |others_average 
30/7/25 1:03,30/7/25 1:07,IP Address,67.175.30.74,100,240,TRUE,30/7/25 1:07,R_77sbZRd50acRW1j,,,,,42.055,-87.6951,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6744d43e7b1bcfda7d89f402,26,Female,Yes,Yes,Single,"$1,000–$1,666/month",Completed graduate (Master’s or PhD),White/Caucasian,Lean Democrat,4,5,2000,2500,2500,1000,Moderately confident,5,9,3,7,4,2,1,3,Thailand,6744d43e7b1bcfda7d89f402,13592.22,8832.47,Normcorrection-lowincome,others_average |similar_average |poor_focused 
30/7/25 1:04,30/7/25 1:07,IP Address,24.127.11.79,100,172,TRUE,30/7/25 1:07,R_3ql4Jx92T3zeLUG,,,,,42.2859,-83.3714,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",62fbeca46caf4abaaf74b5f1,66,Male,Yes,Yes,Married,"$2,500–$3,333/month",Some graduate,White/Caucasian,Lean Republican,2,7,5000,4000,6000,4000,Slightly confident,7,2,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,62fbeca46caf4abaaf74b5f1,13592.22,8832.47,Normcorrection-average,others_average |similar_average |poor_focused 
30/7/25 1:00,30/7/25 1:07,IP Address,172.58.116.230,100,402,TRUE,30/7/25 1:07,R_1oxTJWPbwEYemyJ,,,,,33.8351,-117.8652,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",632dd45fb49858b31338c11c,43,Male,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,White/Caucasian,Strong Republican,4,5,1500,5000,4000,1000,Slightly confident,4,2,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,632dd45fb49858b31338c11c,13592.22,8832.47,Normcorrection-control_a,others_average |poor_focused |similar_average 
30/7/25 0:59,30/7/25 1:07,IP Address,174.63.119.53,100,463,TRUE,30/7/25 1:07,R_5hNC3p9ZQ1D74wF,,,,,39.7391,-104.9866,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",65629628c8002ad2e44b7616,50,Female,Yes,Yes,Married,"$3,334–$4,166/month",High school graduate or GED equivalent,Black/African,Lean Democrat,3,4,1000,1000,1000,1000,Not at all confident,3,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,2,2,2,4,Thailand,65629628c8002ad2e44b7616,13592.22,8832.47,Normcorrection-control_a,others_average |similar_average |poor_focused 
30/7/25 1:04,30/7/25 1:07,IP Address,47.195.143.159,100,188,TRUE,30/7/25 1:07,R_3szCbgyHawVhElY,,,,,28.0303,-82.7816,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",5d0e7ce13fe2d0001999c056,69,Male,Yes,Yes,Cohabiting,"$3,334–$4,166/month",Some undergraduate,White/Caucasian,Independent,2,4,8000,12000,10000,15000,Very confident,4,9,2,6,0,0,0,10,Thailand,5d0e7ce13fe2d0001999c056,13592.22,8832.47,Normcorrection-control_p,others_average |poor_focused |similar_average 
30/7/25 1:00,30/7/25 1:07,IP Address,68.113.189.199,100,440,TRUE,30/7/25 1:07,R_7PTRHjbKAL2w4Td,,,,,41.1314,-100.7751,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",63d6873b65a6170d64a652f6,42,Male,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,White/Caucasian,Lean Republican,4,6,12000,10000,15000,10000,Slightly confident,6,4,0 - Not at all supportive,0 - Not at all supportive,0,0,0,10,Thailand,63d6873b65a6170d64a652f6,13592.22,8832.47,Normcorrection-average,others_average |poor_focused |similar_average 
30/7/25 1:03,30/7/25 1:07,IP Address,173.76.206.241,100,232,TRUE,30/7/25 1:07,R_1EoTlHM5JTbflJb,,,,,42.2229,-70.8819,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",6708079d21a0f618b83716b0,38,Female,Yes,Yes,Married,"$8,334–$12,499/month",Completed undergraduate,White/Caucasian,Lean Republican,4,3,20000,13000,15000,6000,Slightly confident,4,9,0 - Not at all supportive,6,0,0,0,10,Thailand,6708079d21a0f618b83716b0,13592.22,8832.47,Normcorrection-control_a,similar_average |others_average |poor_focused 
30/7/25 1:05,30/7/25 1:07,IP Address,97.204.110.51,100,152,TRUE,30/7/25 1:07,R_7arrbhwK3EfkOYN,,,,,40.4642,-80.6009,anonymous,EN,,,,,,"I have read and understood the above consent form. I certify that I am 21 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",55acf681fdf99b3d5b2ab68c,41,Female,No,No,Married,"$5,834–$6,666/month",Some undergraduate,White/Caucasian,Lean Democrat,2,4,8000,6000,55000,3000,Not at all confident,4,10 - Completely supportive,10 - Completely supportive,10 - Completely supportive,0,0,0,10,Thailand,55acf681fdf99b3d5b2ab68c,13592.22,8832.47,Normcorrection-control_a,poor_focused |others_average |similar_average 
